orderid,customerid,order_status_update_timestamp,order_status
1,1,07-09-1976 06:27,Received
1,1,08-09-1976 06:27,InProgress
1,1,09-09-1976 06:27,Delivered
2,1,08-01-1983 19:22,Received
2,1,09-01-1983 19:22,InProgress
2,1,10-01-1983 19:22,Delivered
3,1,16-05-1987 11:39,Received
3,1,17-05-1987 11:39,InProgress
3,1,18-05-1987 11:39,Delivered
4,1,16-09-2002 11:53,Received
4,1,17-09-2002 11:53,InProgress
4,1,18-09-2002 11:53,Delivered
5,1,14-02-1998 09:18,Received
5,1,15-02-1998 09:18,InProgress
5,1,16-02-1998 09:18,Delivered
6,1,06-10-1989 22:50,Received
6,1,07-10-1989 22:50,InProgress
6,1,08-10-1989 22:50,Delivered
7,1,12-06-1993 04:23,Received
7,1,13-06-1993 04:23,InProgress
7,1,14-06-1993 04:23,Delivered
8,1,26-05-1995 14:55,Received
8,1,27-05-1995 14:55,InProgress
8,1,28-05-1995 14:55,Delivered
9,1,07-04-2003 09:05,Received
9,1,08-04-2003 09:05,InProgress
9,1,09-04-2003 09:05,Delivered
10,1,27-12-2009 17:51,Received
10,1,28-12-2009 17:51,InProgress
10,1,29-12-2009 17:51,Delivered
11,1,18-11-1990 11:26,Received
11,1,19-11-1990 11:26,InProgress
11,1,20-11-1990 11:26,Delivered
12,1,05-06-2006 23:04,Received
12,1,06-06-2006 23:04,InProgress
12,1,07-06-2006 23:04,Delivered
13,1,16-01-2009 09:43,Received
13,1,17-01-2009 09:43,InProgress
13,1,18-01-2009 09:43,Delivered
14,1,02-05-1979 12:27,Received
14,1,03-05-1979 12:27,InProgress
14,1,04-05-1979 12:27,Delivered
15,1,13-02-2009 19:02,Received
15,1,14-02-2009 19:02,InProgress
15,1,15-02-2009 19:02,Delivered
16,1,23-05-2008 19:29,Received
16,1,24-05-2008 19:29,InProgress
16,1,25-05-2008 19:29,Delivered
17,1,05-01-2022 05:14,Received
17,1,06-01-2022 05:14,InProgress
17,1,07-01-2022 05:14,Delivered
18,1,29-08-2010 12:22,Received
18,1,30-08-2010 12:22,InProgress
18,1,31-08-2010 12:22,Delivered
19,1,22-03-1973 01:41,Received
19,1,23-03-1973 01:41,InProgress
19,1,24-03-1973 01:41,Delivered
20,1,14-01-1987 17:42,Received
20,1,15-01-1987 17:42,InProgress
20,1,16-01-1987 17:42,Delivered
21,2,17-12-2020 04:08,Received
21,2,18-12-2020 04:08,InProgress
21,2,19-12-2020 04:08,Delivered
22,2,16-08-1992 21:35,Received
22,2,17-08-1992 21:35,InProgress
22,2,18-08-1992 21:35,Delivered
23,2,04-05-2022 14:02,Received
23,2,05-05-2022 14:02,InProgress
23,2,06-05-2022 14:02,Delivered
24,2,20-07-1972 00:04,Received
24,2,21-07-1972 00:04,InProgress
24,2,22-07-1972 00:04,Delivered
25,2,18-05-2004 21:07,Received
25,2,19-05-2004 21:07,InProgress
25,2,20-05-2004 21:07,Delivered
26,2,05-10-1981 14:38,Received
26,2,06-10-1981 14:38,InProgress
26,2,07-10-1981 14:38,Delivered
27,2,07-11-1991 11:41,Received
27,2,08-11-1991 11:41,InProgress
27,2,09-11-1991 11:41,Delivered
28,2,09-09-2018 05:53,Received
28,2,10-09-2018 05:53,InProgress
28,2,11-09-2018 05:53,Delivered
29,2,18-03-1970 02:14,Received
29,2,19-03-1970 02:14,InProgress
29,2,20-03-1970 02:14,Delivered
30,2,14-11-2003 07:59,Received
30,2,15-11-2003 07:59,InProgress
30,2,16-11-2003 07:59,Delivered
31,2,01-07-2015 22:41,Received
31,2,02-07-2015 22:41,InProgress
31,2,03-07-2015 22:41,Delivered
32,2,15-08-2013 01:22,Received
32,2,16-08-2013 01:22,InProgress
32,2,17-08-2013 01:22,Delivered
33,2,28-04-2000 14:58,Received
33,2,29-04-2000 14:58,InProgress
33,2,30-04-2000 14:58,Delivered
34,2,27-12-2011 14:54,Received
34,2,28-12-2011 14:54,InProgress
34,2,29-12-2011 14:54,Delivered
35,2,21-06-1975 03:01,Received
35,2,22-06-1975 03:01,InProgress
35,2,23-06-1975 03:01,Delivered
36,2,14-11-1989 10:06,Received
36,2,15-11-1989 10:06,InProgress
36,2,16-11-1989 10:06,Delivered
37,2,12-04-1995 08:47,Received
37,2,13-04-1995 08:47,InProgress
37,2,14-04-1995 08:47,Delivered
38,2,09-04-2002 00:47,Received
38,2,10-04-2002 00:47,InProgress
38,2,11-04-2002 00:47,Delivered
39,2,27-01-1990 15:15,Received
39,2,28-01-1990 15:15,InProgress
39,2,29-01-1990 15:15,Delivered
