orderid,productid,quantity
1,141,2
1,60,2
1,41,2
2,145,6
2,94,3
2,93,4
3,26,5
3,121,5
3,41,4
4,114,3
4,25,2
4,67,3
5,105,4
5,23,4
5,84,4
6,48,2
6,5,2
6,90,2
7,28,3
7,34,5
7,40,4
8,111,4
8,108,2
8,78,2
9,87,2
9,132,5
9,59,6
10,131,5
10,111,4
10,136,3
11,29,6
11,57,7
11,71,2
12,17,7
12,64,7
12,21,6
13,108,3
13,85,4
13,103,6
14,49,2
14,51,4
14,33,7
15,100,2
15,131,4
15,5,2
16,113,6
16,103,6
16,3,7
17,59,4
17,5,4
17,36,4
18,108,5
18,79,3
18,113,4
19,124,5
19,131,4
19,20,3
20,131,4
20,108,6
20,101,3
21,121,6
21,85,7
21,24,7
22,150,3
22,35,3
22,21,2
23,123,7
23,6,2
23,44,7
24,22,3
24,150,2
24,112,7
25,85,4
25,137,6
25,9,5
26,6,4
26,125,6
26,11,7
27,52,6
27,41,4
27,51,2
28,32,4
28,84,5
28,5,6
29,63,6
29,149,2
29,71,2
30,126,7
30,114,5
30,38,4
31,133,6
31,43,2
31,73,6
32,61,5
32,15,3
32,145,6
33,31,5
33,86,3
33,5,6
34,91,6
34,90,6
34,92,6
35,102,4
35,32,7
35,63,6
36,45,5
36,111,5
36,19,5
37,26,6
37,150,3
37,60,7
38,23,5
38,63,2
38,4,2
39,83,7
39,81,4
39,75,2
40,56,3
40,118,3
40,2,7
41,65,6
41,51,7
41,24,4
42,110,6
42,83,4
42,39,2
43,58,2
43,125,5
43,81,3
44,13,4
44,31,2
44,119,7
45,14,7
45,73,5
45,126,2
46,146,6
46,78,7
46,86,2
47,126,5
47,127,6
47,122,6
48,142,3
48,87,2
48,149,3
49,70,3
49,58,7
49,49,7
50,119,6
50,23,6
50,57,4
51,30,5
51,22,6
51,144,2
52,30,2
52,16,2
52,101,2
53,144,3
53,59,6
53,13,5
54,20,4
54,36,5
54,59,6
55,142,7
55,23,4
55,32,3
56,133,2
56,57,6
56,47,3
57,128,7
57,102,3
57,139,7
58,142,6
58,46,6
58,118,2
59,68,3
59,137,7
59,148,5
60,71,4
60,120,6
60,128,7
61,99,3
61,6,5
61,25,5
62,25,4
62,115,5
62,126,7
63,118,5
63,43,7
63,126,6
64,78,2
64,33,5
64,79,2
65,44,6
65,92,4
65,138,6
66,113,6
66,56,3
66,103,7
67,13,7
67,108,5
67,140,5
68,55,5
68,12,6
68,131,4
69,108,4
69,49,5
69,129,3
70,146,2
70,27,3
70,134,2
71,95,2
71,19,4
71,126,7
72,21,4
72,18,4
72,127,7
73,47,2
73,137,2
73,35,6
74,35,7
74,51,6
74,14,6
75,59,5
75,23,4
75,1,2
76,12,2
76,99,4
76,65,2
77,42,2
77,130,7
77,125,2
78,17,3
78,3,7
78,138,4
79,27,3
79,62,2
79,32,3
80,100,7
80,140,2
80,128,6
81,124,5
81,1,6
81,22,6
82,51,5
82,135,5
82,4,2
83,20,6
83,82,2
83,136,2
84,4,2
84,97,6
84,10,5
85,78,6
85,25,5
85,108,5
86,3,4
86,52,5
86,127,5
87,78,3
87,141,2
87,126,5
88,142,7
88,30,5
88,133,7
89,26,3
89,101,4
89,133,6
90,109,6
90,67,4
90,83,4
91,66,4
91,62,7
91,143,7
92,8,6
92,45,6
92,94,3
93,27,2
93,65,4
93,33,2
94,145,3
94,134,5
94,117,3
95,46,7
95,10,6
95,35,2
96,139,6
96,3,6
96,110,3
97,90,3
97,68,5
97,42,6
98,123,4
98,143,7
98,142,2
99,139,3
99,78,4
99,65,7
100,8,7
100,150,2
100,144,6
101,50,3
101,66,7
101,107,5
102,40,6
102,97,2
102,74,4
103,52,4
103,54,3
103,127,5
104,105,3
104,66,6
104,71,5
105,147,6
105,38,4
105,149,5
106,135,3
106,27,5
106,78,4
107,43,7
107,131,6
107,9,6
108,71,2
108,147,6
108,52,2
109,20,4
109,52,3
109,8,6
110,81,3
110,28,6
110,132,5
111,135,6
111,45,7
111,121,3
112,85,3
112,106,4
112,32,2
113,122,3
113,92,2
113,14,2
114,119,4
114,96,4
114,129,4
115,84,7
115,45,2
115,63,7
116,25,7
116,11,7
116,49,4
117,44,5
117,29,5
117,108,5
118,132,2
118,73,3
118,37,6
119,99,3
119,98,7
119,28,4
120,23,7
120,70,6
120,145,7
121,106,7
121,7,6
121,114,7
122,78,7
122,58,3
122,32,6
123,44,7
123,117,5
123,111,3
124,94,2
124,102,3
124,82,4
125,22,7
125,25,2
125,104,2
126,139,5
126,125,6
126,68,7
127,99,4
127,105,4
127,15,3
128,122,5
128,58,6
128,115,4
129,67,4
129,147,4
129,21,7
130,114,4
130,53,4
130,19,4
131,16,4
131,37,3
131,106,5
132,89,3
132,117,4
132,97,5
133,94,4
133,21,5
133,32,7
134,3,2
134,111,4
134,106,7
135,66,2
135,16,6
135,45,6
136,61,3
136,145,6
136,49,4
137,101,7
137,31,7
137,73,6
138,150,2
138,128,5
138,5,4
139,106,4
139,16,7
139,74,2
140,80,6
140,67,4
140,85,7
141,118,4
141,61,4
141,147,4
142,120,4
142,114,3
142,117,4
143,42,5
143,73,5
143,138,7
144,67,2
144,94,7
144,66,6
145,106,4
145,113,2
145,142,5
146,45,7
146,36,4
146,70,5
147,7,6
147,46,6
147,1,2
148,11,6
148,85,5
148,13,3
149,16,5
149,63,4
